inningNumber,balls_id,overNumber,oversUnique,oversActual,ballNumber,totalRuns,batsmanRuns,isFour,isSix,isWicket,outPlayerId,dismissalType,byes,legbyes,wides,wagonX,wagonY,wagonZone,timestamp,batsmanPlayerId,bowlerPlayerId,totalInningRuns,totalInningWickets,batsmanStatText,bowlerStatText
0,43638084,1,0.01,0.1,1,0,0,False,False,False,,,0,0,0,0,0,0,2023-09-12T09:31:33.000Z,48405,64698,0,0,Rohit Sharma 0* (1b),Kasun Rajitha 0.1-0-0-0
0,43638089,1,0.02,0.2,2,0,0,False,False,False,,,0,0,0,0,0,0,2023-09-12T09:31:57.000Z,48405,64698,0,0,Rohit Sharma 0* (2b),Kasun Rajitha 0.2-0-0-0
0,43638094,1,0.03,0.3,3,0,0,False,False,False,,,0,0,0,0,0,0,2023-09-12T09:32:23.000Z,48405,64698,0,0,Rohit Sharma 0* (3b),Kasun Rajitha 0.3-0-0-0
0,43638097,1,0.04,0.4,4,4,4,True,False,False,,,0,0,0,4,183,6,2023-09-12T09:33:05.000Z,48405,64698,4,0,Rohit Sharma 4* (4b 1x4),Kasun Rajitha 0.4-0-4-0
0,43638104,1,0.05,0.5,5,1,1,False,False,False,,,0,0,0,80,77,7,2023-09-12T09:33:41.000Z,48405,64698,5,0,Rohit Sharma 5* (5b 1x4),Kasun Rajitha 0.5-0-5-0
0,43638111,1,0.06,0.6,6,2,2,False,False,False,,,0,0,0,328,181,3,2023-09-12T09:34:29.000Z,95316,64698,7,0,Shubman Gill 2* (1b),Kasun Rajitha 1-0-7-0
0,43638129,2,1.01,1.1,1,0,0,False,False,False,,,0,0,0,141,158,7,2023-09-12T09:36:09.000Z,48405,101991,7,0,Rohit Sharma 5* (6b 1x4),Maheesh Theekshana 0.1-0-0-0
0,43638134,2,1.02,1.2,2,1,1,False,False,False,,,0,0,0,216,305,4,2023-09-12T09:36:32.000Z,48405,101991,8,0,Rohit Sharma 6* (7b 1x4),Maheesh Theekshana 0.2-0-1-0
0,43638139,2,1.03,1.3,3,0,0,False,False,False,,,0,0,0,150,185,6,2023-09-12T09:37:03.000Z,95316,101991,8,0,Shubman Gill 2* (2b),Maheesh Theekshana 0.3-0-1-0
0,43638142,2,1.04,1.4,4,1,1,False,False,False,,,0,0,0,286,181,3,2023-09-12T09:37:26.000Z,95316,101991,9,0,Shubman Gill 3* (3b),Maheesh Theekshana 0.4-0-2-0
0,43638145,2,1.05,1.5,5,1,1,False,False,False,,,0,0,0,299,109,2,2023-09-12T09:37:55.000Z,48405,101991,10,0,Rohit Sharma 7* (8b 1x4),Maheesh Theekshana 0.5-0-3-0
0,43638151,2,1.06,1.6,6,0,0,False,False,False,,,0,0,0,172,190,5,2023-09-12T09:38:22.000Z,95316,101991,10,0,Shubman Gill 3* (4b),Maheesh Theekshana 1-0-3-0
0,43638164,3,2.01,2.1,1,0,0,False,False,False,,,0,0,0,0,0,0,2023-09-12T09:39:18.000Z,48405,64698,10,0,Rohit Sharma 7* (9b 1x4),Kasun Rajitha 1.1-0-7-0
0,43638169,3,2.02,2.2,2,0,0,False,False,False,,,0,0,0,124,170,6,2023-09-12T09:39:58.000Z,48405,64698,10,0,Rohit Sharma 7* (10b 1x4),Kasun Rajitha 1.2-0-7-0
0,43638171,3,2.03,2.3,3,1,1,False,False,False,,,0,0,0,143,149,7,2023-09-12T09:40:43.000Z,48405,64698,11,0,Rohit Sharma 8* (11b 1x4),Kasun Rajitha 1.3-0-8-0
0,43638178,3,2.04,2.4,4,1,1,False,False,False,,,0,0,0,87,110,7,2023-09-12T09:41:01.000Z,95316,64698,12,0,Shubman Gill 4* (5b),Kasun Rajitha 1.4-0-9-0
0,43638187,3,2.05,2.5,5,0,0,False,False,False,,,0,0,0,0,0,0,2023-09-12T09:41:34.000Z,48405,64698,12,0,Rohit Sharma 8* (12b 1x4),Kasun Rajitha 1.5-0-9-0
0,43638192,3,2.06,2.6,6,1,1,False,False,False,,,0,0,0,129,150,7,2023-09-12T09:42:24.000Z,48405,64698,13,0,Rohit Sharma 9* (13b 1x4),Kasun Rajitha 2-0-10-0
0,43638202,4,3.01,3.1,1,2,2,False,False,False,,,0,0,0,277,80,2,2023-09-12T09:43:32.000Z,48405,101991,15,0,Rohit Sharma 11* (14b 1x4),Maheesh Theekshana 1.1-0-5-0
0,43638208,4,3.02,3.2,2,0,0,False,False,False,,,0,0,0,224,177,3,2023-09-12T09:43:55.000Z,48405,101991,15,0,Rohit Sharma 11* (15b 1x4),Maheesh Theekshana 1.2-0-5-0
0,43638212,4,3.03,3.3,3,1,1,False,False,False,,,0,0,0,327,190,3,2023-09-12T09:44:22.000Z,48405,101991,16,0,Rohit Sharma 12* (16b 1x4),Maheesh Theekshana 1.3-0-6-0
0,43638217,4,3.04,3.4,4,1,1,False,False,False,,,0,0,0,200,319,4,2023-09-12T09:44:51.000Z,95316,101991,17,0,Shubman Gill 5* (6b),Maheesh Theekshana 1.4-0-7-0
0,43638220,4,3.05,3.5,5,0,0,False,False,False,,,0,0,0,209,202,4,2023-09-12T09:45:22.000Z,48405,101991,17,0,Rohit Sharma 12* (17b 1x4),Maheesh Theekshana 1.5-0-7-0
0,43638230,4,3.06,3.6,6,0,0,False,False,False,,,0,0,0,230,199,3,2023-09-12T09:46:20.000Z,48405,101991,17,0,Rohit Sharma 12* (18b 1x4),Maheesh Theekshana 2-0-7-0
0,43638240,5,4.01,4.1,1,0,0,False,False,False,,,0,0,0,149,179,6,2023-09-12T09:47:41.000Z,95316,64698,17,0,Shubman Gill 5* (7b),Kasun Rajitha 2.1-0-10-0
0,43638243,5,4.02,4.2,2,4,4,True,False,False,,,0,0,0,161,362,5,2023-09-12T09:48:15.000Z,95316,64698,21,0,Shubman Gill 9* (8b 1x4),Kasun Rajitha 2.2-0-14-0
0,43638254,5,4.03,4.3,3,2,2,False,False,False,,,0,0,0,344,187,3,2023-09-12T09:49:14.000Z,95316,64698,23,0,Shubman Gill 11* (9b 1x4),Kasun Rajitha 2.3-0-16-0
0,43638261,5,4.04,4.4,4,1,0,False,False,False,,,0,0,1,0,0,0,2023-09-12T09:49:46.000Z,95316,64698,24,0,Shubman Gill 11* (9b 1x4),Kasun Rajitha 2.3-0-17-0
0,43638268,5,4.05,4.4,5,1,1,False,False,False,,,0,0,0,82,83,7,2023-09-12T09:50:07.000Z,95316,64698,25,0,Shubman Gill 12* (10b 1x4),Kasun Rajitha 2.4-0-18-0
0,43638274,5,4.06,4.5,6,0,0,False,False,False,,,0,0,0,148,182,6,2023-09-12T09:50:42.000Z,48405,64698,25,0,Rohit Sharma 12* (19b 1x4),Kasun Rajitha 2.5-0-18-0
0,43638278,5,4.07,4.6,7,0,0,False,False,False,,,0,0,0,175,190,5,2023-09-12T09:51:19.000Z,48405,64698,25,0,Rohit Sharma 12* (20b 1x4),Kasun Rajitha 3-0-18-0
0,43638293,6,5.01,5.1,1,0,0,False,False,False,,,0,0,0,178,189,5,2023-09-12T09:52:42.000Z,95316,61690,25,0,Shubman Gill 12* (11b 1x4),Dasun Shanaka 0.1-0-0-0
0,43638298,6,5.02,5.2,2,0,0,False,False,False,,,0,0,0,195,249,4,2023-09-12T09:53:14.000Z,95316,61690,25,0,Shubman Gill 12* (12b 1x4),Dasun Shanaka 0.2-0-0-0
0,43638303,6,5.03,5.3,3,0,0,False,False,False,,,0,0,0,0,0,0,2023-09-12T09:53:51.000Z,95316,61690,25,0,Shubman Gill 12* (13b 1x4),Dasun Shanaka 0.3-0-0-0
0,43638306,6,5.04,5.4,4,1,1,False,False,False,,,0,0,0,55,108,7,2023-09-12T09:54:32.000Z,95316,61690,26,0,Shubman Gill 13* (14b 1x4),Dasun Shanaka 0.4-0-1-0
0,43638312,6,5.05,5.5,5,4,4,True,False,False,,,0,0,0,326,54,2,2023-09-12T09:55:37.000Z,48405,61690,30,0,Rohit Sharma 16* (21b 2x4),Dasun Shanaka 0.5-0-5-0
0,43638318,6,5.06,5.6,6,1,1,False,False,False,,,0,0,0,156,145,7,2023-09-12T09:55:48.000Z,48405,61690,31,0,Rohit Sharma 17* (22b 2x4),Dasun Shanaka 1-0-6-0
0,43638326,7,6.01,6.1,1,0,0,False,False,False,,,0,0,0,0,0,0,2023-09-12T09:56:47.000Z,48405,64698,31,0,Rohit Sharma 17* (23b 2x4),Kasun Rajitha 3.1-0-18-0
0,43638329,7,6.02,6.2,2,0,0,False,False,False,,,0,0,0,179,188,5,2023-09-12T09:57:29.000Z,48405,64698,31,0,Rohit Sharma 17* (24b 2x4),Kasun Rajitha 3.2-0-18-0
0,43638334,7,6.03,6.3,3,5,0,False,False,False,,,0,0,5,0,0,0,2023-09-12T09:58:22.000Z,48405,64698,36,0,Rohit Sharma 17* (24b 2x4),Kasun Rajitha 3.2-0-23-0
0,43638343,7,6.04,6.3,4,1,0,False,False,False,,,0,0,1,0,0,0,2023-09-12T09:59:00.000Z,48405,64698,37,0,Rohit Sharma 17* (24b 2x4),Kasun Rajitha 3.2-0-24-0
0,43638348,7,6.05,6.3,5,0,0,False,False,False,,,0,0,0,164,254,5,2023-09-12T09:59:21.000Z,48405,64698,37,0,Rohit Sharma 17* (25b 2x4),Kasun Rajitha 3.3-0-24-0
0,43638352,7,6.06,6.4,6,0,0,False,False,False,,,0,0,0,174,146,8,2023-09-12T09:59:58.000Z,48405,64698,37,0,Rohit Sharma 17* (26b 2x4),Kasun Rajitha 3.4-0-24-0
0,43638357,7,6.07,6.5,7,6,6,False,True,False,,,0,0,0,192,357,4,2023-09-12T10:01:07.000Z,48405,64698,43,0,Rohit Sharma 23* (27b 2x4 1x6),Kasun Rajitha 3.5-0-30-0
0,43638368,7,6.08,6.6,8,0,0,False,False,False,,,0,0,0,136,172,6,2023-09-12T10:01:40.000Z,48405,64698,43,0,Rohit Sharma 23* (28b 2x4 1x6),Kasun Rajitha 4-0-30-0
0,43638379,8,7.01,7.1,1,0,0,False,False,False,,,0,0,0,179,186,5,2023-09-12T10:02:43.000Z,95316,61690,43,0,Shubman Gill 13* (15b 1x4),Dasun Shanaka 1.1-0-6-0
0,43638384,8,7.02,7.2,2,0,0,False,False,False,,,0,0,0,177,189,5,2023-09-12T10:03:14.000Z,95316,61690,43,0,Shubman Gill 13* (16b 1x4),Dasun Shanaka 1.2-0-6-0
0,43638393,8,7.03,7.3,3,1,1,False,False,False,,,0,0,0,165,36,8,2023-09-12T10:04:13.000Z,95316,61690,44,0,Shubman Gill 14* (17b 1x4),Dasun Shanaka 1.3-0-7-0
0,43638398,8,7.04,7.4,4,0,0,False,False,False,,,0,0,0,0,0,0,2023-09-12T10:04:50.000Z,48405,61690,44,0,Rohit Sharma 23* (29b 2x4 1x6),Dasun Shanaka 1.4-0-7-0
0,43638405,8,7.05,7.5,5,0,0,False,False,False,,,0,0,0,146,172,6,2023-09-12T10:05:24.000Z,48405,61690,44,0,Rohit Sharma 23* (30b 2x4 1x6),Dasun Shanaka 1.5-0-7-0
0,43638410,8,7.06,7.6,6,0,0,False,False,False,,,0,0,0,0,0,0,2023-09-12T10:06:00.000Z,48405,61690,44,0,Rohit Sharma 23* (31b 2x4 1x6),Dasun Shanaka 2-0-7-0
0,43638420,9,8.01,8.1,1,0,0,False,False,False,,,0,0,0,223,191,3,2023-09-12T10:07:32.000Z,95316,105938,44,0,Shubman Gill 14* (18b 1x4),Matheesha Pathirana 0.1-0-0-0
0,43638425,9,8.02,8.2,2,0,0,False,False,False,,,0,0,0,228,173,3,2023-09-12T10:08:00.000Z,95316,105938,44,0,Shubman Gill 14* (19b 1x4),Matheesha Pathirana 0.2-0-0-0
0,43638433,9,8.03,8.3,3,0,0,False,False,False,,,0,0,0,130,152,7,2023-09-12T10:08:45.000Z,95316,105938,44,0,Shubman Gill 14* (20b 1x4),Matheesha Pathirana 0.3-0-0-0
0,43638441,9,8.04,8.4,4,0,0,False,False,False,,,0,0,0,236,177,3,2023-09-12T10:09:08.000Z,95316,105938,44,0,Shubman Gill 14* (21b 1x4),Matheesha Pathirana 0.4-0-0-0
0,43638446,9,8.05,8.5,5,0,0,False,False,False,,,0,0,0,128,179,6,2023-09-12T10:09:44.000Z,95316,105938,44,0,Shubman Gill 14* (22b 1x4),Matheesha Pathirana 0.5-0-0-0
0,43638448,9,8.06,8.6,6,4,4,True,False,False,,,0,0,0,356,175,3,2023-09-12T10:10:15.000Z,95316,105938,48,0,Shubman Gill 18* (23b 2x4),Matheesha Pathirana 1-0-4-0
0,43638460,10,9.01,9.1,1,1,0,False,False,False,,,0,0,1,0,0,0,2023-09-12T10:11:44.000Z,48405,61690,49,0,Rohit Sharma 23* (31b 2x4 1x6),Dasun Shanaka 2-0-8-0
0,43638464,10,9.02,9.1,2,4,4,True,False,False,,,0,0,0,4,230,6,2023-09-12T10:12:18.000Z,48405,61690,53,0,Rohit Sharma 27* (32b 3x4 1x6),Dasun Shanaka 2.1-0-12-0
0,43638470,10,9.03,9.2,3,4,4,True,False,False,,,0,0,0,318,324,4,2023-09-12T10:13:04.000Z,48405,61690,57,0,Rohit Sharma 31* (33b 4x4 1x6),Dasun Shanaka 2.2-0-16-0
0,43638475,10,9.04,9.3,4,0,0,False,False,False,,,0,0,0,163,255,5,2023-09-12T10:13:46.000Z,48405,61690,57,0,Rohit Sharma 31* (34b 4x4 1x6),Dasun Shanaka 2.3-0-16-0
0,43638480,10,9.05,9.4,5,4,4,True,False,False,,,0,0,0,212,361,4,2023-09-12T10:14:44.000Z,48405,61690,61,0,Rohit Sharma 35* (35b 5x4 1x6),Dasun Shanaka 2.4-0-20-0
0,43638489,10,9.06,9.5,6,4,4,True,False,False,,,0,0,0,5,191,6,2023-09-12T10:15:59.000Z,48405,61690,65,0,Rohit Sharma 39* (36b 6x4 1x6),Dasun Shanaka 2.5-0-24-0
0,43638493,10,9.07,9.6,7,0,0,False,False,False,,,0,0,0,137,177,6,2023-09-12T10:16:16.000Z,48405,61690,65,0,Rohit Sharma 39* (37b 6x4 1x6),Dasun Shanaka 3-0-24-0
0,43638502,11,10.01,10.1,1,1,1,False,False,False,,,0,0,0,257,258,4,2023-09-12T10:17:43.000Z,95316,105938,66,0,Shubman Gill 19* (24b 2x4),Matheesha Pathirana 1.1-0-5-0
0,43638505,11,10.02,10.2,2,6,6,False,True,False,,,0,0,0,360,184,3,2023-09-12T10:18:42.000Z,48405,105938,72,0,Rohit Sharma 45* (38b 6x4 2x6),Matheesha Pathirana 1.2-0-11-0
0,43638511,11,10.03,10.3,3,2,2,False,False,False,,,0,0,0,329,181,3,2023-09-12T10:19:17.000Z,48405,105938,74,0,Rohit Sharma 47* (39b 6x4 2x6),Matheesha Pathirana 1.3-0-13-0
0,43638521,11,10.04,10.4,4,1,0,False,False,False,,,0,0,1,0,0,0,2023-09-12T10:21:21.000Z,48405,105938,75,0,Rohit Sharma 47* (39b 6x4 2x6),Matheesha Pathirana 1.3-0-14-0
0,43638525,11,10.05,10.4,5,0,0,False,False,False,,,0,0,0,0,0,0,2023-09-12T10:20:24.000Z,48405,105938,75,0,Rohit Sharma 47* (40b 6x4 2x6),Matheesha Pathirana 1.4-0-14-0
0,43638529,11,10.06,10.5,6,5,0,False,False,False,,,0,0,5,0,0,0,2023-09-12T10:21:06.000Z,48405,105938,80,0,Rohit Sharma 47* (40b 6x4 2x6),Matheesha Pathirana 1.4-0-19-0
0,43638537,11,10.07,10.5,7,0,0,False,False,False,,,0,0,0,149,180,6,2023-09-12T10:21:54.000Z,48405,105938,80,0,Rohit Sharma 47* (41b 6x4 2x6),Matheesha Pathirana 1.5-0-19-0
0,43638543,11,10.08,10.6,8,0,0,False,False,False,,,0,0,0,231,198,3,2023-09-12T10:22:40.000Z,48405,105938,80,0,Rohit Sharma 47* (42b 6x4 2x6),Matheesha Pathirana 2-0-19-0
